RAP	MSU	Name	Description	Type	SYMBOL	ENTREZ	RAP.description	RAP.name	RAP.synonym	CGSNL.symbol	CGSNL.name	Oryzabase.name	Oryzabase.synonym	Oryzabase.protein	AM_gene_description	AM_gene_otherinfo	NCBI.Name	GO.term	GO.name	ATG
Os02g0771600	LOC_Os02g53180, LOC_Os02g53180	ACO3, ACO3	Similar to 1-aminocyclopropane-1-carboxylate oxidase (Fragment), Similar to 1-aminocyclopropane-1-carboxylate oxidase (Fragment)	protein_coding, protein_coding	LOC4330873, LOC4330873	4330873, 4330873	Similar to 1-aminocyclopropane-1-carboxylate oxidase (Fragment)., ACC oxidase, Ethylene biosynthesis	NA	NA	ACO3, ACO3	AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE 3, AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE 3	OsACO3, ACO2, OsACO2, OsACO3, ACO2, OsACO2	ACC oxidase 3, ACC oxidase 3	AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE 3, AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE 3	NA	NA	1-aminocyclopropane-1-carboxylate oxidase 1-like, 1-aminocyclopropane-1-carboxylate oxidase 1-like	GO:0046872, GO:0051213, GO:0016491, GO:0016706, GO:0055114, GO:0005507, GO:0005618, GO:0005886, GO:0009620, GO:0009651, GO:0009693, GO:0009727, GO:0009737, GO:0009751, GO:0009753, GO:0010446, GO:0046872, GO:0051213, GO:0016491, GO:0016706, GO:0055114, GO:0005507, GO:0005618, GO:0005886, GO:0009620, GO:0009651, GO:0009693, GO:0009727, GO:0009737, GO:0009751, GO:0009753, GO:0010446	NA	AT1G05010
Os06g0207200	LOC_Os06g10530	NA	Conserved hypothetical protein	protein_coding	LOC4340441	4340441	Conserved hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4340441	GO:0016021, GO:0016020	integral component of membrane, membrane	AT1G05575
Os02g0774200	LOC_Os02g53410	NA	Conserved hypothetical protein	protein_coding	LOC4330887	4330887	Conserved hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4330887	NA	NA	AT1G05575
Os09g0518000	LOC_Os09g34230	OsUGT74H4	Similar to indole-3-acetate beta-glucosyltransferase	protein_coding	LOC4347592	4347592	Similar to indole-3-acetate beta-glucosyltransferase.	NA	NA	UGT74H4	UDP-GLUCOSE-DEPENDENT GLYCOSYLTRANSFERASE 74H4	OsUGT74H4, SGT1, OsSGT1, UGT74H12, OsUGT74H12	UDP-glucose-dependent glycosyltransferase 74H4, SA glucosyltransferase1, SA glucosyltransferase 1, salicylic acid glucosyltransferase 1	UDP-GLUCOSE-DEPENDENT GLYCOSYLTRANSFERASE 74H4	NA	NA	UDP-glycosyltransferase 79-like	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0016757, GO:0008152, GO:0016758	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, metabolic process, hexosyltransferase activity	AT1G05675
Os09g0518400	LOC_Os09g34270	NA	Similar to UDP-glycosyltransferase UGT74H5	protein_coding	LOC4347594	4347594	Similar to UDP-glycosyltransferase UGT74H5.	NA	NA	NA	NA	OsUGT74H4, UGT74H4	UDP-glucosyltransferase 74H4	NA	NA	NA	UDP-glucosyltransferase UGT13248	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0008152, GO:0016758	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, metabolic process, hexosyltransferase activity	AT1G05675
Os09g0518200	LOC_Os09g34250	OsSGT	UDP-glucuronosyl/UDP-glucosyltransferase family protein	protein_coding	LOC4347593	4347593	UDP:glucose salicylic acid glucosyltransferase, Chemically-induced disease resistance	OsSGT1	salicylic acid glucosyltransferase 1	NA	NA	OsSGT, UGT74H3, OsUGT74H3	salicylic acid glucosyltransferase, SA-glucosyltransferase, UDP-glucose-dependent glycosyltransferase 74H3	SALICYLIC ACID GLUCOSYLTRANSFERASE	NA	NA	UDP-glucosyltransferase UGT13248	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0016757, GO:0016758, GO:0008152, GO:0009611	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, hexosyltransferase activity, metabolic process, response to wounding	AT1G05675
Os09g0517900	LOC_Os09g34214	NA	UDP-glucuronosyl/UDP-glucosyltransferase family protein	protein_coding	LOC4347591	4347591	UDP-glucuronosyl/UDP-glucosyltransferase family protein.	NA	NA	NA	NA	OsUGT74H1	UDP-glucosyltransferase 74H1	UDP-GLUCOSYLTRANSFERASE 74H1	NA	NA	UDP-glycosyltransferase 79-like	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0016757, GO:0008152, GO:0016758	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, metabolic process, hexosyltransferase activity	AT1G05675
Os04g0206000	LOC_Os04g12890	NA	Similar to H0825G02.4 protein	protein_coding	LOC9272562	9272562	Similar to H0825G02.4 protein.	NA	NA	NA	NA	OsUGT74J14	UDP-glucosyltransferase 74J14	UDP-GLUCOSYLTRANSFERASE 74J14	NA	NA	UDP-glucosyltransferase UGT13248	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0016757, GO:0008152, GO:0016758	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, metabolic process, hexosyltransferase activity	AT1G05675
Os04g0206700	LOC_Os04g12980, LOC_Os04g12980	NA	UDP-glucuronosyl/UDP-glucosyltransferase family protein, UDP-glucuronosyl/UDP-glucosyltransferase family protein	protein_coding, protein_coding	LOC4335169, LOC4335169	4335169, 4335169	UDP-glucosyltransferase, Salicylic acid (SA) homeostasis, Disease resistance, UDP-glucuronosyl/UDP-glucosyltransferase family protein.	NA	NA	NA	NA	OsUGT74J1, OsUGT74J1	UDP-glucosyltransferase 74J1, UDP-glucosyltransferase 74J1	UDP-GLUCOSYLTRANSFERASE 74J1, UDP-GLUCOSYLTRANSFERASE 74J1	NA	NA	UDP-glycosyltransferase 79-like, UDP-glycosyltransferase 79-like	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0016757, GO:0016758, GO:0008152, GO:0009696, GO:0050832, GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0016757, GO:0016758, GO:0008152, GO:0009696, GO:0050832	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, hexosyltransferase activity, metabolic process, salicylic acid metabolic process, defense response to fungus, intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, hexosyltransferase activity, metabolic process, salicylic acid metabolic process, defense response to fungus	AT1G05675
Os04g0204000	LOC_Os04g12690	NA	Similar to H0825G02.2 protein	protein_coding	NA	NA	Similar to H0825G02.2 protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0008152, GO:0016758	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, metabolic process, hexosyltransferase activity	AT1G05675
Os04g0206500	LOC_Os04g12960	NA	UDP-glucuronosyl/UDP-glucosyltransferase family protein	protein_coding	LOC4335167	4335167	UDP-glucuronosyl/UDP-glucosyltransferase family protein.	NA	NA	NA	NA	OsUGT74J3	UDP-glucosyltransferase 74J3	UDP-GLUCOSYLTRANSFERASE 74J3	NA	NA	UDP-glucosyltransferase UGT13248	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0016757, GO:0008152, GO:0016758	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, metabolic process, hexosyltransferase activity	AT1G05675
Os04g0206600	LOC_Os04g12970	UDP-GT	UDP-glucuronosyl/UDP-glucosyltransferase family protein	protein_coding	LOC4335166	NA	UDP-glucosyltransferase, Detoxification of deoxynivalenol	Os79	NA	NA	NA	UDP-GT, Os79, OsUGT74J5	UDP-glucuronyl transferase, UDP-glucosyltransferase, UDP-glucosyltransferase 74J5	UDP-GLUCOSYLTRANSFERASE 74J5	NA	NA	UDP-glycosyltransferase 79-like	GO:0043231, GO:0000166, GO:0008194, GO:0080043, GO:0098754, GO:0080044, GO:0016740, GO:0016757, GO:0009636, GO:0016758, GO:0009314, GO:0009753	intracellular membrane-bounded organelle, nucleotide binding, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, detoxification, quercetin 7-O-glucosyltransferase activity, transferase activity, glycosyltransferase activity, response to toxic substance, hexosyltransferase activity, response to radiation, response to jasmonic acid	AT1G05675
Os04g0204100	LOC_Os04g12720	NA	Similar to H0825G02.3 protein	protein_coding	NA	NA	Similar to H0825G02.3 protein.	NA	NA	NA	NA	OsUGT74J13	UDP-glucosyltransferase 74J13	UDP-GLUCOSYLTRANSFERASE 74J13	NA	NA	NA	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0008152, GO:0016758	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, metabolic process, hexosyltransferase activity	AT1G05675
Os04g0206450	LOC_Os04g12950	NA	Similar to cDNA clone:002-100-D12, full insert sequence	protein_coding	LOC4335166	NA	Similar to cDNA clone:002-100-D12, full insert sequence.	NA	NA	NA	NA	OsUGT74J2	UDP-glucosyltransferase 74J2	UDP-GLUCOSYLTRANSFERASE 74J2	NA	NA	UDP-glycosyltransferase 79-like	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0008152, GO:0016758	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, metabolic process, hexosyltransferase activity	AT1G05675
Os04g0203600	None	NA	Similar to cDNA clone:002-100-D12, full insert sequence	protein_coding	LOC4335157	4335157	Similar to cDNA clone:002-100-D12, full insert sequence.	NA	NA	NA	NA	NA	NA	NA	NA	NA	UDP-glycosyltransferase 79-like	GO:0043231, GO:0008194, GO:0080043, GO:0080044, GO:0016740, GO:0008152, GO:0016758	intracellular membrane-bounded organelle, UDP-glycosyltransferase activity, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, transferase activity, metabolic process, hexosyltransferase activity	AT1G05675
Os05g0473500	LOC_Os05g39610, LOC_Os05g39610	OsEXO70B3, OsEXO70B3	Exo70 exocyst complex subunit family protein, Exo70 exocyst complex subunit family protein	protein_coding, protein_coding	LOC4339086, LOC4339086	4339086, 4339086	Exo70 exocyst complex subunit family protein., Similar to protein binding protein.	NA	NA	EXO70B3, EXO70B3	EXOCYST SUBUNIT EXO70 FAMILY PROTEIN B3, EXOCYST SUBUNIT EXO70 FAMILY PROTEIN B3	OsEXO70B3, OsExo70B3, OrysaB3_Exo70, OsEXO70B3, OsExo70B3, OrysaB3_Exo70	exocyst subunit EXO70 family protein B3, exocyst subunit EXO70 family protein B3	EXOCYST SUBUNIT EXO70 FAMILY PROTEIN B3, EXOCYST SUBUNIT EXO70 FAMILY PROTEIN B3	NA	NA	exocyst complex component EXO70B1, exocyst complex component EXO70B1	GO:0006887, GO:0015031, GO:0000145, GO:0005546, GO:0006887, GO:0015031, GO:0000145, GO:0005546	exocytosis, protein transport, exocyst, phosphatidylinositol-4,5-bisphosphate binding, exocytosis, protein transport, exocyst, phosphatidylinositol-4,5-bisphosphate binding	AT1G07000
Os01g0827500	LOC_Os01g61180	OsEXO70B1	Exo70 exocyst complex subunit family protein	protein_coding	LOC4327524	4327524	Exocyst subunit EXO70 family protein, Positive regulation of disease resistance	OsExo70B1	exocyst subunit EXO70 family protein B1	EXO70B1	EXOCYST SUBUNIT EXO70 FAMILY PROTEIN B1	OsEXO70B1, OsExo70B1, OrysaB1_Exo70	exocyst subunit EXO70 family protein B1	EXOCYST SUBUNIT EXO70 FAMILY PROTEIN B1	NA	NA	exocyst complex component EXO70B1	GO:0006887, GO:0015031, GO:0000145, GO:0005546, GO:0005634, GO:0005737, GO:0005886, GO:0050832	exocytosis, protein transport, exocyst, phosphatidylinositol-4,5-bisphosphate binding, nucleus, cytoplasm, plasma membrane, defense response to fungus	AT1G07000
Os03g0292100	LOC_Os03g18150	OsPP2C32	Hypothetical conserved gene	protein_coding	LOC4332509	4332509	Hypothetical conserved gene.	NA	NA	NA	NA	OsPP2C32, OsPP50	protein phosphatase 2C32, protein phosphatase 2C 32, protein phosphatase 50	PROTEIN PHOSPHATASE 2C32	NA	NA	probable protein phosphatase 2C 32	GO:0043169, GO:0004722, GO:0016021, GO:0046872, GO:0004724, GO:0016020, GO:0016787, GO:0006470, GO:0004721, GO:0017018, GO:0003824, GO:0008287, GO:0005634, GO:0009536, GO:0009611, GO:0009738, GO:0010440, GO:0050832	NA	AT1G07160
Os12g0570500	LOC_Os12g38260	OsSTA286	Glycoside hydrolase, family 5, conserved site domain containing protein	protein_coding	LOC4352578	4352578	Glycoside hydrolase, family 5, conserved site domain containing protein.	NA	NA	NA	NA	OsSTA286	NA	NA	NA	NA	uncharacterized LOC4352578	NA	NA	AT1G07620
Os04g0266700	LOC_Os04g19700	NA	Hypothetical conserved gene	protein_coding	LOC107275795	107275795	Hypothetical conserved gene.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC107275795	NA	NA	AT1G08050
Os08g0126000	LOC_Os08g03260	NA	Hypothetical conserved gene	protein_coding	LOC107275453	107275453	Hypothetical conserved gene.	NA	NA	NA	NA	NA	NA	NA	NA	NA	E3 ubiquitin-protein ligase WAV3	GO:0005515	protein binding	AT1G08050
Os08g0126100	LOC_Os08g03270	NA	Hypothetical conserved gene	protein_coding	LOC107275357	107275357	Hypothetical conserved gene.	NA	NA	NA	NA	OsRING138	RING-type E3 ubiquitin ligase 138	NA	NA	NA	E3 ubiquitin-protein ligase WAV3	GO:0005515, GO:0008270	protein binding, zinc ion binding	AT1G08050
Os10g0464800	LOC_Os10g32750, LOC_Os10g32750	NA	Zinc finger, RING-type domain containing protein, Zinc finger, RING-type domain containing protein	protein_coding, protein_coding	NA	NA	Zinc finger, RING-type domain containing protein., Zinc finger, RING-type domain containing protein.	NA	NA	NA	NA	OsRING182, OsRING416	RING-type E3 ubiquitin ligase 182, RING-type E3 ubiquitin ligase 416	NA	NA	NA	NA	GO:0046872, GO:0044238, GO:0043170, GO:0005515, GO:0008270, GO:0046872, GO:0044238, GO:0043170, GO:0005515, GO:0008270	metal ion binding, primary metabolic process, macromolecule metabolic process, protein binding, zinc ion binding, metal ion binding, primary metabolic process, macromolecule metabolic process, protein binding, zinc ion binding	AT1G08050
Os12g0203500	LOC_Os12g10250	NA	Zinc finger, RING-type domain containing protein	protein_coding	NA	NA	Zinc finger, RING-type domain containing protein.	NA	NA	NA	NA	OsRING212	RING-type E3 ubiquitin ligase 212	NA	NA	NA	NA	GO:0044238, GO:0043170, GO:0005515, GO:0008270	primary metabolic process, macromolecule metabolic process, protein binding, zinc ion binding	AT1G08050
Os09g0566050	LOC_Os09g39260	NA	Similar to Prephenate dehydratase	protein_coding	LOC4347877	4347877	Similar to Prephenate dehydratase.	NA	NA	NA	NA	NA	NA	NA	NA	NA	arogenate dehydratase/prephenate dehydratase 6, chloroplastic	GO:0004664, GO:0047769, GO:0009094, GO:0009507, GO:0009570, GO:0016829, GO:0005737, GO:0009536, GO:0008652, GO:0009073	prephenate dehydratase activity, arogenate dehydratase activity, L-phenylalanine biosynthetic process, chloroplast, chloroplast stroma, lyase activity, cytoplasm, plastid, cellular amino acid biosynthetic process, aromatic amino acid family biosynthetic process	AT1G08250
Os09g0565700	LOC_Os09g39230	EIP3	Prephenate dehydratase domain containing protein	protein_coding	LOC4347875	4347875	Prephenate dehydratase domain containing protein.	NA	NA	NA	NA	EIP3	EBR1-interacting protein 3	NA	NA	NA	arogenate dehydratase/prephenate dehydratase 6, chloroplastic	GO:0004664, GO:0047769, GO:0009094, GO:0009507, GO:0009570, GO:0016829, GO:0005737, GO:0009536, GO:0008652, GO:0009073	prephenate dehydratase activity, arogenate dehydratase activity, L-phenylalanine biosynthetic process, chloroplast, chloroplast stroma, lyase activity, cytoplasm, plastid, cellular amino acid biosynthetic process, aromatic amino acid family biosynthetic process	AT1G08250
Os04g0406600	LOC_Os04g33390	NA	Prephenate dehydratase domain containing protein	protein_coding	LOC4335756	4335756	Prephenate dehydratase domain containing protein.	NA	NA	NA	NA	OsADT, ADT	arogenate dehydratase	NA	NA	NA	arogenate dehydratase/prephenate dehydratase 6, chloroplastic	GO:0004664, GO:0047769, GO:0009094, GO:0009507, GO:0009570, GO:0016829, GO:0005737, GO:0009536, GO:0008652, GO:0009073	prephenate dehydratase activity, arogenate dehydratase activity, L-phenylalanine biosynthetic process, chloroplast, chloroplast stroma, lyase activity, cytoplasm, plastid, cellular amino acid biosynthetic process, aromatic amino acid family biosynthetic process	AT1G08250
Os01g0895600	LOC_Os01g67054	NA	Similar to Calreticulin-3	protein_coding	LOC9267167	9267167	Similar to Calreticulin-3.	NA	NA	NA	NA	CRT2, OsCRT2	calreticulin	NA	NA	NA	calreticulin-3	GO:0051082, GO:0006457, GO:0016021, GO:0005783, GO:0005509, GO:0016020, GO:0005789, GO:0030433, GO:0005515, GO:0006986, GO:0009790	unfolded protein binding, protein folding, integral component of membrane, endoplasmic reticulum, calcium ion binding, membrane, endoplasmic reticulum membrane, ubiquitin-dependent ERAD pathway, protein binding, response to unfolded protein, embryo development	AT1G08450
Os05g0507300	LOC_Os05g43170	NA	Similar to Calreticulin-3	protein_coding	LOC4339262	4339262	Similar to Calreticulin-3.	NA	NA	NA	NA	NA	NA	NA	NA	NA	calreticulin-3	GO:0051082, GO:0006457, GO:0005783, GO:0005509, GO:0046872, GO:0005789, GO:0005788, GO:0030433, GO:0005515	unfolded protein binding, protein folding, endoplasmic reticulum, calcium ion binding, metal ion binding, endoplasmic reticulum membrane, endoplasmic reticulum lumen, ubiquitin-dependent ERAD pathway, protein binding	AT1G08450
Os01g0934100	LOC_Os01g70790	NA	C2 calcium-dependent membrane targeting domain containing protein	protein_coding	LOC4326830	4326830	C2 calcium-dependent membrane targeting domain containing protein.	NA	NA	NA	NA	OsSRC2, OsC2DP10, C2DP10	steroid receptor coactivator 2, C2 Domain-Containing Protein 10	STEROID RECEPTOR COACTIVATOR 2	NA	NA	protein SRC2	GO:0006952, GO:0005515	defense response, protein binding	AT1G09070
Os05g0370300	LOC_Os05g30740	NA	Similar to src2-like protein	protein_coding	LOC4338581	4338581	Similar to src2-like protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	protein SRC2	GO:0006952, GO:0005515	defense response, protein binding	AT1G09070
Os07g0670300	LOC_Os07g47400	NA	C2 calcium-dependent membrane targeting domain containing protein	protein_coding	LOC4344240	4344240	C2 calcium-dependent membrane targeting domain containing protein.	NA	NA	NA	NA	OsC2DP68	C2 Domain-Containing Protein 68	C2 DOMAIN-CONTAINING PROTEIN 68	NA	NA	protein SRC2	GO:0006952, GO:0005515	defense response, protein binding	AT1G09070
Os07g0670200	LOC_Os07g47390	NA	C2 calcium-dependent membrane targeting domain containing protein	protein_coding	LOC9270916	NA	C2 calcium-dependent membrane targeting domain containing protein.	NA	NA	NA	NA	OsC2DP67	C2 Domain-Containing Protein 67	C2 DOMAIN-CONTAINING PROTEIN 67	NA	NA	protein SRC2	GO:0006952, GO:0005515	defense response, protein binding	AT1G09070
Os05g0149100	LOC_Os05g05650	NA	C2 calcium-dependent membrane targeting domain containing protein	protein_coding	LOC4337815	4337815	C2 calcium-dependent membrane targeting domain containing protein.	NA	NA	NA	NA	OsC2DP42	C2 Domain-Containing Protein 42	C2 DOMAIN-CONTAINING PROTEIN 42	NA	NA	protein SRC2	GO:0006952, GO:0005515	defense response, protein binding	AT1G09070
Os01g0369500	LOC_Os01g27190	NA	C2 calcium-dependent membrane targeting domain containing protein	protein_coding	LOC4325702	4325702	C2 calcium-dependent membrane targeting domain containing protein.	NA	NA	NA	NA	OsC2DP4	C2 Domain-Containing Protein 4	C2 DOMAIN-CONTAINING PROTEIN 4	NA	NA	protein SRC2	GO:0006952, GO:0005515	defense response, protein binding	AT1G09070
